dim_1,dim_2,dim_3,dim_4
9.74,14.69,11.80,9.26
9.77,12.30,12.60,7.52
9.61,15.21,12.42,10.09
11.18,15.20,10.67,6.17
10.44,17.36,12.07,7.81
10.96,12.38,11.44,8.88
11.57,14.57,12.68,8.45
11.41,13.00,13.02,5.27
5.28,13.91,10.35,9.58
11.20,12.81,13.53,6.20
9.84,14.47,12.21,9.47
11.15,15.63,13.17,8.86
8.87,13.71,11.15,8.90
9.55,19.20,10.53,6.02
11.38,17.56,12.91,9.50
12.57,14.83,9.44,7.04
11.72,12.40,12.06,8.46
9.43,16.30,13.05,12.18
11.12,13.90,10.99,6.50
11.71,13.98,11.87,9.35
8.70,14.47,8.69,6.05
8.98,15.75,14.15,7.97
10.47,15.30,13.95,9.61
10.49,13.18,13.63,8.69
12.21,14.95,15.52,7.35
12.87,15.21,11.07,5.97
9.73,17.56,13.47,9.24
5.72,16.28,13.00,7.01
8.87,15.00,15.10,6.10
9.23,17.45,11.20,7.34
80.18,82.77,15.40,17.82
81.59,85.01,19.11,20.51
82.46,82.65,14.78,20.58
83.14,81.97,16.78,21.06
82.76,86.28,15.09,19.06
77.75,85.35,14.65,23.64
78.90,85.58,12.18,19.29
80.47,86.48,17.61,19.92
77.99,85.82,15.93,20.88
78.74,87.04,15.16,21.26
82.29,86.10,15.52,23.88
80.44,84.47,15.20,22.67
80.21,85.93,17.15,19.08
76.89,85.54,15.41,18.91
81.57,86.09,13.21,20.93
79.65,82.33,15.82,19.92
78.66,85.94,15.88,18.96
80.72,86.83,13.72,20.69
80.00,89.08,11.65,21.25
79.45,84.82,18.42,19.98
84.03,84.20,15.63,19.12
78.76,85.11,14.49,20.36
76.21,88.60,14.70,23.14
78.19,85.53,20.70,18.43
77.31,84.02,15.85,21.25
82.32,84.54,12.12,19.22
82.23,85.84,11.48,19.94
82.52,88.83,16.01,20.56
77.77,83.48,15.08,20.91
81.04,84.14,12.93,18.60
17.92,76.16,75.84,24.40
20.81,77.74,80.13,26.80
19.28,73.66,78.79,27.75
21.79,75.88,85.99,24.94
21.12,75.55,79.60,29.17
22.71,72.48,79.28,25.77
21.41,72.57,75.94,21.57
19.87,74.81,80.62,23.61
17.80,71.36,80.59,25.67
21.79,76.42,79.66,27.43
19.75,73.81,79.06,23.95
16.10,75.28,80.45,24.35
18.72,75.67,83.09,25.07
19.09,73.94,79.87,22.72
19.77,75.11,83.32,26.70
21.86,73.72,81.21,22.95
20.56,75.75,78.62,28.60
21.02,71.58,81.00,24.27
20.00,75.84,80.70,21.33
17.92,76.39,82.34,28.43
23.25,71.30,81.39,21.55
22.90,75.46,77.95,28.62
21.16,71.60,80.53,23.68
20.20,74.16,82.47,22.44
20.57,78.27,78.51,25.38
20.36,73.76,81.17,25.17
18.30,78.17,81.42,24.70
18.85,73.59,82.22,24.74
20.83,74.67,81.11,24.79
21.37,74.67,81.49,26.21
49.79,18.45,88.31,93.67
48.23,21.56,89.92,97.83
54.10,20.04,87.21,94.31
49.86,17.32,89.55,95.52
49.17,18.62,88.63,98.22
49.71,18.51,89.33,96.72
48.77,20.87,91.31,96.35
52.52,19.01,92.04,93.57
49.29,22.15,91.48,95.00
47.86,21.01,88.87,93.34
48.83,20.44,86.18,95.65
50.31,18.95,91.87,96.10
48.91,18.79,91.25,92.27
49.40,18.86,90.13,95.38
50.07,22.04,90.41,94.43
47.82,21.30,90.95,97.61
48.65,20.05,89.89,94.84
50.02,16.91,91.48,96.18
52.03,24.05,89.43,94.93
50.02,23.50,86.88,95.87
47.35,15.35,86.36,92.51
51.92,18.44,89.59,92.91
51.10,18.02,92.37,93.21
48.62,20.22,90.04,97.56
50.22,17.83,88.99,93.97
51.31,20.69,89.79,96.57
49.05,19.75,90.33,97.75
49.82,19.37,88.12,96.23
48.94,20.62,86.58,96.88
47.60,18.60,91.91,92.60
